baseMean log2FoldChange lfcSE stat pvalue padj
Niben261Chr03g0809017.1 244.80961874651 2.39480906228541 0.520180684687195 3.6425978858189 0.000269900291082246 0.00751240089759386
Niben261Chr06g1175014.1 140.082060873536 2.39183484454967 0.423829699294886 4.46366747704813 8.05685687458535e-06 0.00032431814354503
Niben261Chr13g0019004.1 210.581186851852 2.38243624889659 0.352156891483065 5.34544770931201 9.01938343398749e-08 5.03273100121901e-06
Niben261Chr14g1366012.1 129.147301711996 2.35197755157729 0.485599125075061 3.81379919350353 0.000136846674063576 0.00409434190481122
Niben261Chr16g0330007.1 65.998617174764 2.33633277576248 0.49343459672913 3.72153227182514 0.000198017552856144 0.00570367576881588
Niben261Chr07g1417001.1 15421.0366877501 2.32379939697153 0.22270166277083 8.18942873744192 2.62468980133173e-16 3.85504026027004e-14
Niben261Chr09g1310006.1 206.853537931787 2.31657255936976 0.264985625965483 6.85536263618461 7.11318434342009e-12 6.79653291135816e-10
Niben261Chr12g0235005.1 2869.26977883722 2.31361685494531 0.231830692942803 7.82302305153687 5.15696569036211e-15 6.78885883326781e-13
Niben261Chr08g0283022.1 383.255494241932 2.30002644346315 0.363104237919765 4.95732700277901 7.14696310076058e-07 3.40525008650716e-05
Niben261Chr09g0002013.1 26838.8796337587 2.29308294994439 0.497301048138613 3.60562873666939 0.000311398069532688 0.00856019565620253
Niben261Chr13g0847006.1 10866.9092734128 2.28720487484721 0.127609700241219 14.0052431082346 1.44783435590009e-44 9.02839023616012e-42
Niben261Chr03g1491010.1 620.345185928575 2.27734666139022 0.196377539089859 9.05066164708856 1.42104636236883e-19 2.85365377988913e-17
Niben261Chr03g1590002.1 2031.32890934573 2.24327993460149 0.237227559676264 7.34855569471137 2.00359980192783e-13 2.26802392865359e-11
Niben261Chr05g0547007.1 268.536025722751 2.23604758156284 0.460214807948278 3.77225493743335 0.000161778832562799 0.00475621739008448
Niben261Chr19g0729008.1 15304.1266697204 2.21905098135614 0.0834980527594126 20.5879170177696 3.52187659690341e-94 9.62935244310268e-91
Niben261Chr12g0233012.1 131.042616688135 2.20436720722603 0.438427519116386 3.88745489941196 0.000101300802039826 0.00316400325808751
Niben261Chr13g0678005.1 1279.35933862042 2.18882619088149 0.185291589562874 9.114424431598 7.90891545965329e-20 1.65361465351716e-17
Niben261Chr13g0847005.1 458.428494883847 2.18743887327616 0.241383833555264 6.99068719069716 2.73543049915489e-12 2.70078171283226e-10
Niben261Chr14g1079001.1 447.033561322058 2.16751155407707 0.414132254325366 4.02651939485731 5.66085721500647e-05 0.00188046269953448
Niben261Chr05g1086013.1 959.62552949902 2.16261217600813 0.245249824929612 6.77925937963588 1.20793494043093e-11 1.13284536999148e-09
Niben261Chr06g0170014.1 194.53126661563 2.149729097509 0.347275491468192 4.75049100221375 2.02923324195054e-06 8.90457609282591e-05
Niben261Chr01g1230001.1 373.100979878393 2.14517172121034 0.440064379206646 3.73847963831173 0.000185136484152926 0.00537182954508702
Niben261Chr16g0286002.1 2358.62416425086 2.13716855422314 0.443834967155087 3.68868763251605 0.000225413760463819 0.00642299264532618
Niben261Chr19g0257004.1 259.641337665318 2.11938787875736 0.422488534844453 3.8329747323287 0.000126602961887983 0.00383629640012487
Niben261Chr13g1332011.1 849.994925562989 2.10418424772814 0.249687864410208 6.42475857413982 1.32078970382031e-10 1.07428259113476e-08
Niben261Chr11g1401007.1 3939.49568989951 2.09635820306947 0.1581409831842 10.0945255994144 5.84128232756924e-24 1.63482314213481e-21
Niben261Chr03g0301003.1 1121.84310858274 2.0898839998005 0.186744669821729 8.51367806812503 1.68501415390121e-17 2.68574632673833e-15
Niben261Chr09g0834015.1 1936.20914498321 2.08428457804698 0.286260771308657 5.53441035879397 3.12277087483365e-08 1.87810098096594e-06
Niben261Chr06g1383016.1 311.348757586559 2.0812743721307 0.323780341712016 4.88378745840337 1.04067249569154e-06 4.79762168441767e-05
Niben261Chr11g0678001.1 79263.3380865323 2.07391233335731 0.155601531398475 10.1150182727104 4.73928578894456e-24 1.33692995303369e-21
Niben261Chr19g0275001.1 297.439988075238 2.06395931911817 0.372044975373688 4.20368348624331 2.62606087128499e-05 0.000943116594194267
Niben261Chr16g0282004.1 87.3921999046628 2.06060939457813 0.390940513238356 3.99193570819974 6.55361424662714e-05 0.00215127865143067
Niben261Chr05g1095002.1 361.368931408132 2.04452244114939 0.301377845366486 5.12487054007305 2.97742254939203e-07 1.52053889505159e-05
Niben261Chr13g1053020.1 29882.8095754505 2.03154375677613 0.299059333723892 5.12120366786525 3.03591530418767e-07 1.54818613446265e-05
Niben261Chr03g1776001.1 423.575092878055 2.02423385469131 0.378013197418328 4.03222391467068 5.52515055905289e-05 0.00184399954432841
Niben261Chr06g1467001.1 11262.2304111194 2.02277519562324 0.162896023447214 9.34814222838712 8.92006664377779e-21 1.96928477507104e-18
Niben261Chr17g0115007.1 73208.7159834352 2.02093151142653 0.359700139419421 4.22833172620229 2.35430500118166e-05 0.000854326450927662
Niben261Chr09g0860002.1 7147.78693574793 2.01704228878804 0.235884292168098 6.4312984762332 1.26518441807697e-10 1.03856154633089e-08
Niben261Chr03g1826003.1 5507.13268081151 2.01500045357509 0.197890766933814 7.65574097795978 1.92200773001371e-14 2.39704711423184e-12
Niben261Chr15g1105001.1 202.15456232669 2.00738395159422 0.281500210015079 5.35482354174254 8.56399519690361e-08 4.80882535985374e-06
